member_name,reading,party,faction,constituency,election_count,updated_at
内山こう,うちやま こう,自由民主党,自由民主党・無所属の会,新潟1,1,2026-05-19
梅村聡,うめむら さとし,日本維新の会,日本維新の会,大阪5,2,2026-05-19
浦野靖人,うらの やすと,日本維新の会,日本維新の会,大阪15,6,2026-05-19
うるま譲司,うるま じょうじ,日本維新の会,日本維新の会,大阪8,3,2026-05-19
江渡聡徳,えと あきのり,自由民主党,自由民主党・無所属の会,（比）東北,10,2026-05-19
江藤拓,えとう たく,自由民主党,自由民主党・無所属の会,（比）九州,9,2026-05-19
衛藤博昭,えとう ひろあき,自由民主党,自由民主党・無所属の会,大分1,1,2026-05-19
英利アルフィヤ,えり あるふぃや,自由民主党,自由民主党・無所属の会,千葉5,3,2026-05-19
遠藤敬,えんどう たかし,日本維新の会,日本維新の会,大阪18,6,2026-05-19
遠藤寛明,えんどう ひろあき,自由民主党,自由民主党・無所属の会,山形1,1,2026-05-19
大岡敏孝,おおおか としたか,自由民主党,自由民主党・無所属の会,滋賀1,6,2026-05-19
大串正樹,おおぐし まさき,自由民主党,自由民主党・無所属の会,兵庫6,6,2026-05-19
大島敦,おおしま あつし,中道改革連合,中道改革連合・無所属,（比）北関東,10,2026-05-19
大空幸星,おおぞら こうき,自由民主党,自由民主党・無所属の会,東京15,2,2026-05-19
大塚拓,おおつか たく,自由民主党,自由民主党・無所属の会,埼玉9,6,2026-05-19
大西洋平,おおにし ようへい,自由民主党,自由民主党・無所属の会,東京16,2,2026-05-19
大野敬太郎,おおの けいたろう,自由民主党,自由民主党・無所属の会,香川3,6,2026-05-19
大森江里子,おおもり えりこ,中道改革連合,中道改革連合・無所属,（比）東京,2,2026-05-19
岡野純子,おかの じゅんこ,国民民主党,国民民主党・無所属クラブ,（比）南関東,2,2026-05-19
岡本三成,おかもと みつなり,中道改革連合,中道改革連合・無所属,（比）東京,6,2026-05-19
岡本康宏,おかもと やすひろ,自由民主党,自由民主党・無所属の会,愛知5,1,2026-05-19
緒方林太郎,おがた りんたろう,無所属,無所属,福岡9,5,2026-05-19
小川淳也,おがわ じゅんや,中道改革連合,中道改革連合・無所属,香川1,8,2026-05-19
奥下剛光,おくした たけみつ,日本維新の会,日本維新の会,大阪7,3,2026-05-19
長田紘一郎,おさだ こういちろう,自由民主党,自由民主党・無所属の会,（比）東海,1,2026-05-19
尾崎正直,おざき まさなお,自由民主党,自由民主党・無所属の会,高知2,3,2026-05-19
小里泰弘,おざと やすひろ,自由民主党,自由民主党・無所属の会,（比）九州,7,2026-05-19
小竹凱,おだけ かい,国民民主党,国民民主党・無所属クラブ,（比）北陸信越,2,2026-05-19
小田原潔,おだわら きよし,自由民主党,自由民主党・無所属の会,東京21,5,2026-05-19
落合貴之,おちあい たかゆき,中道改革連合,中道改革連合・無所属,（比）東京,5,2026-05-19
鬼木誠,おにき まこと,自由民主党,自由民主党・無所属の会,福岡2,6,2026-05-19
小野寺五典,おのでら いつのり,自由民主党,自由民主党・無所属の会,宮城5,10,2026-05-19
尾花瑛仁,おばな あきひと,自由民主党,自由民主党・無所属の会,埼玉6,1,2026-05-19
小渕優子,おぶち ゆうこ,自由民主党,自由民主党・無所属の会,群馬5,10,2026-05-19
尾身朝子,おみ あさこ,自由民主党,自由民主党・無所属の会,（比）北関東,4,2026-05-19
河西宏一,かさい こういち,中道改革連合,中道改革連合・無所属,（比）東京,3,2026-05-19
鹿嶋祐介,かしま ゆうすけ,自由民主党,自由民主党・無所属の会,千葉4,1,2026-05-19
柏倉祐司,かしわくら ゆうじ,日本維新の会,日本維新の会,（比）北関東,2,2026-05-19
梶山弘志,かじやま ひろし,自由民主党,自由民主党・無所属の会,茨城4,10,2026-05-19
勝俣孝明,かつまた たかあき,自由民主党,自由民主党・無所属の会,静岡6,6,2026-05-19
勝目康,かつめ やすし,自由民主党,自由民主党・無所属の会,京都1,3,2026-05-19
加藤鮎子,かとう あゆこ,自由民主党,自由民主党・無所属の会,山形3,5,2026-05-19
加藤勝信,かとう かつのぶ,自由民主党,自由民主党・無所属の会,岡山3,9,2026-05-19
加藤貴弘,かとう たかひろ,自由民主党,自由民主党・無所属の会,北海道1,1,2026-05-19
加藤大博,かとう ともひろ,自由民主党,自由民主党・無所属の会,岐阜4,1,2026-05-19
加藤竜祥,かとう りゅうしょう,自由民主党,自由民主党・無所属の会,長崎2,3,2026-05-19
門寛子,かど ひろこ,自由民主党,自由民主党・無所属の会,東京8,1,2026-05-19
門山宏哲,かどやま ひろあき,自由民主党,自由民主党・無所属の会,千葉1,5,2026-05-19
金澤結衣,かなざわ ゆい,自由民主党,自由民主党・無所属の会,神奈川20,1,2026-05-19
金子恵美,かねこ えみ,中道改革連合,中道改革連合・無所属,（比）東北,5,2026-05-19
金子恭之,かねこ やすし,自由民主党,自由民主党・無所属の会,熊本4,10,2026-05-19
金子容三,かねこ ようぞう,自由民主党,自由民主党・無所属の会,長崎3,3,2026-05-19
金村龍那,かねむら りゅうな,日本維新の会,日本維新の会,（比）南関東,3,2026-05-19
上川陽子,かみかわ ようこ,自由民主党,自由民主党・無所属の会,静岡1,9,2026-05-19
